accession,description
ERZ908723,"Antibiogram for study PRJDB7087, sample SAMD00126453"
ERZ908730,"Antibiogram for study PRJDB7087, sample SAMD00126412"
ERZ908733,"Antibiogram for study PRJDB7087, sample SAMD00126530"
ERZ908734,"Antibiogram for study PRJDB7087, sample SAMD00126463"
ERZ908741,"Antibiogram for study PRJDB7087, sample SAMD00126380"
ERZ908756,"Antibiogram for study PRJDB7087, sample SAMD00126455"
ERZ908768,"Antibiogram for study PRJDB7087, sample SAMD00126472"
ERZ908774,"Antibiogram for study PRJDB7087, sample SAMD00126362"
ERZ908780,"Antibiogram for study PRJDB7087, sample SAMD00126417"
ERZ908791,"Antibiogram for study PRJDB7087, sample SAMD00126474"
ERZ908792,"Antibiogram for study PRJDB7087, sample SAMD00126511"
ERZ908794,"Antibiogram for study PRJDB7087, sample SAMD00126445"
ERZ908795,"Antibiogram for study PRJDB7087, sample SAMD00126437"
ERZ908797,"Antibiogram for study PRJDB7087, sample SAMD00126521"
ERZ908811,"Antibiogram for study PRJDB7087, sample SAMD00126408"
ERZ908815,"Antibiogram for study PRJDB7087, sample SAMD00126534"
ERZ908819,"Antibiogram for study PRJDB7087, sample SAMD00126544"
ERZ908881,"Antibiogram for study PRJDB7087, sample SAMD00126392"
ERZ908884,"Antibiogram for study PRJDB7087, sample SAMD00126359"
ERZ794739,"Antibiogram for study PRJEB21997, sample SAMEA104188782"
ERZ794757,"Antibiogram for study PRJEB21997, sample SAMEA104188710"
ERZ794815,"Antibiogram for study PRJEB21997, sample SAMEA104188704"
ERZ794821,"Antibiogram for study PRJEB21997, sample SAMEA104188736"
ERZ794825,"Antibiogram for study PRJEB21997, sample SAMEA104188703"
ERZ794838,"Antibiogram for study PRJEB21997, sample SAMEA104188784"
ERZ794846,"Antibiogram for study PRJEB21997, sample SAMEA104188699"
ERZ795319,"Antibiogram for study PRJEB25629, sample SAMEA5166659"
ERZ908652,"Antibiogram for study PRJDB7087, sample SAMD00126489"
ERZ908673,"Antibiogram for study PRJDB7087, sample SAMD00126402"
ERZ908679,"Antibiogram for study PRJDB7087, sample SAMD00126467"
ERZ908688,"Antibiogram for study PRJDB7087, sample SAMD00126583"
ERZ908719,"Antibiogram for study PRJDB7087, sample SAMD00126420"
ERZ908727,"Antibiogram for study PRJDB7087, sample SAMD00126598"
ERZ908731,"Antibiogram for study PRJDB7087, sample SAMD00126381"
ERZ908742,"Antibiogram for study PRJDB7087, sample SAMD00126573"
ERZ908743,"Antibiogram for study PRJDB7087, sample SAMD00126593"
ERZ908749,"Antibiogram for study PRJDB7087, sample SAMD00126476"
ERZ908752,"Antibiogram for study PRJDB7087, sample SAMD00126368"
