SRA_run,BioSample_ID,isolate_name,isolation_latitude,isolation_longitude,ERS Number,MLST,spa,SCCMec,isolation_country,city,source,HosCom,mrsa,mrsa__groupcolour,PEN_phenotype,FOX_phenotype,CIP_phenotype,MFX_phenotype,AMK_phenotype,GEN_phenotype,TOB_phenotype,ERY_phenotype,CLI_phenotype,TCY_phenotype,FUS_phenotype,MUP_phenotype,RIF_phenotype,TMP_phenotype
ERR033517,SAMEA698449,308_PT_15,38.73863,-9.16377,ERS026952,15,t1038,,Portugal,Lisbon,BC,,0,#76F013,resistant,,,,,,,,,,,,,
ERR033600,SAMEA698553,309_SE_15,57.721,12.94025,ERS027031,15,t084,,Sweden,Boras,BC,,0,#76F013,resistant,,,,,,,,,,,,,
ERR033568,SAMEA698269,31_SE_45,56.67397,12.85729,ERS027013,45,t779,,Sweden,Halmstad,BC,,0,#76F013,resistant,,,,,,,,,,,,,
ERR033301,SAMEA698687,310_ES_15,43.22142,-2.813527,ERS026972,15,t085,,Spain,GALDAKAO,BC,HA,0,#FFF734,resistant,,,,,,,,,,,,,
ERR033579,SAMEA698189,311_SE_15,59.27375,15.20754,ERS027027,15,t084,,Sweden,Orebro,BC,,0,#76F013,resistant,,,,,,,,,,,,,
ERR038680,SAMEA698627,312_NO_15,61.45193,5.843864,ERS026909,15,t774,,Norway,Forde,BC,CO,0,#76F013,resistant,,,,,,,,,,,,,
ERR038670,SAMEA698626,313_NO_15,61.45193,5.843864,ERS026908,15,t084,,Norway,Forde,BC,CO,0,#76F013,resistant,,,,,,,resistant,resistant,,,,,
ERR033570,SAMEA698267,314_SE_15,59.33279,18.06449,ERS027011,15,t084,,Sweden,Stockholm,BC,CO,0,#76F013,resistant,,,,,,,,,,,,,
ERR033295,SAMEA698697,315_ES_2861,42.54633,-6.590833,ERS026978,2861,t2055,,Spain,PONFERRADA,BC,CO,0,#FFF734,resistant,,,,,,,,,,,,,
ERR033358,SAMEA698616,316_CZ_15,50.02129,14.46283,ERS026717,15,t084,,Czech,Praha,BC,HA,0,#FFF734,resistant,,,,,,,,,,,,,
ERR033418,SAMEA698251,317_HR_2865,45.82545,15.98974,ERS026708,2865,t084,,Croatia,Zagreb,BC,CO,0,#FFF734,,,,,,,,,,,,,,
ERR038398:ERR039393,SAMEA698657,318_AT_15,47.23835,9.596222,ERS026626,15,t803,,Austria,Feldkirch,BC,CO,0,#76F013,resistant,,,,,,,,,,,,,
ERR033571,SAMEA698268,319_SE_2871,59.33279,18.06449,ERS027010,2871,t2636,,Sweden,Stockholm,BC,,0,#76F013,resistant,,,,,,,,,,,,,
ERR033429,SAMEA698321,32_DK_2863,55.67629,12.56812,ERS026746,2863,t630,,Denmark,Copenhagen,BC,CO,0,#76F013,resistant,,,,,,,,,,,,,
ERR038682,SAMEA698361,320_PL_15,50.72309,23.25197,ERS026920,15,t2624,,Poland,Zamosc,BC,HA,0,#76F013,resistant,,,,,,,,,,,,,
ERR033495,SAMEA698439,321_DE_1,52.52348,13.32195,ERS026815,1,t127,,Germany,Berlin,BC,HA,0,#76F013,resistant,,,,,,,,,,,,,
