isolate_id,taxon_name,sample_name,AMC,AMI,AMP,AMS,AMX,AZT,CAZ,CEP,CFZ,CHL,CIP,CL,CLI,CRO,CTX,CXM,DOR,DOX,ERP,ERY,FA,FEP,FOX,GEN,IMI,KAN,LEV,MET,MIN,MRP,NAL,NIT,NMN,OFL,OXA,PEN,PTZ,RIF,SIZ,SPT,STR,SXT,TCC,TET,TGC,TMP,TOB,run_accession
114125,Staphylococcus aureus,SAMEA2335107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,S,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,R,NA,S,NA,NA,NA,NA,NA,S,NA,NA,NA,ERR410072
114126,Staphylococcus aureus,SAMEA2335108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,S,R,NA,NA,S,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,R,NA,S,NA,NA,NA,NA,NA,S,NA,NA,NA,ERR410073
114127,Staphylococcus aureus,SAMEA2335110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,S,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,R,NA,S,NA,NA,NA,NA,NA,S,NA,NA,NA,ERR410075
114128,Staphylococcus aureus,SAMEA2335111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,S,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,R,NA,S,NA,NA,NA,NA,NA,S,NA,NA,NA,ERR410076
114129,Staphylococcus aureus,SAMEA2335112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,S,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,R,NA,S,NA,NA,NA,NA,NA,S,NA,NA,NA,ERR410077
114130,Staphylococcus aureus,SAMEA2335114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,S,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,R,NA,S,NA,NA,NA,NA,NA,S,NA,NA,NA,ERR410079
114131,Staphylococcus aureus,SAMEA2335115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,S,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,R,NA,S,NA,NA,NA,NA,NA,S,NA,NA,NA,ERR410080
114132,Staphylococcus aureus,SAMEA2335116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,S,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,R,NA,S,NA,NA,NA,NA,NA,S,NA,NA,NA,ERR410081
114133,Staphylococcus aureus,SAMEA2335117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,S,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,R,NA,S,NA,NA,NA,NA,NA,R,NA,NA,NA,ERR410082
114134,Staphylococcus aureus,SAMEA2335118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,S,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,S,NA,S,NA,NA,NA,NA,NA,S,NA,NA,NA,ERR410083
114135,Staphylococcus aureus,SAMEA2335120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,S,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,R,NA,S,NA,NA,NA,NA,NA,S,NA,NA,NA,ERR410085
114136,Staphylococcus aureus,SAMEA2335121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,S,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,S,NA,S,NA,NA,NA,NA,NA,S,NA,NA,NA,ERR410086
