run_accession,study_accession,Sample,tax_id,scientific_name,submitted_ftp,Isolate,Supplier (Geographic origin),TOB,MIC*,CIP,MIC*2,MEM,MIC*3,CAZ,MIC*4
SRR8737514,PRJNA526797,SAMN11110383,287,Pseudomonas aeruginosa,NA,CH3173,Charité Berlin (Berlin),R,1024,R,32,S,1,R,128
SRR8737515,PRJNA526797,SAMN11110384,287,Pseudomonas aeruginosa,NA,CH3177,Charité Berlin (Berlin),S,0.25,S,0.25,R,8,S,2
SRR8737516,PRJNA526797,SAMN11110385,287,Pseudomonas aeruginosa,NA,CH3290,Charité Berlin (Berlin),R,32,R,8,R,16,I,16
SRR8737517,PRJNA526797,SAMN11110386,287,Pseudomonas aeruginosa,NA,CH3325,Charité Berlin (Berlin),S,0.25,S,0.5,R,8,R,32
SRR8737518,PRJNA526797,SAMN11110387,287,Pseudomonas aeruginosa,NA,CH3462,Charité Berlin (Berlin),S,0.5,S,0.125,R,8,S,8
SRR8737519,PRJNA526797,SAMN11110388,287,Pseudomonas aeruginosa,NA,CH3466,Charité Berlin (Berlin),S,0.5,R,4,R,16,I,16
SRR8737520,PRJNA526797,SAMN11110389,287,Pseudomonas aeruginosa,NA,CH3484,Charité Berlin (Berlin),S,0.25,I,2,R,8,S,8
SRR8737521,PRJNA526797,SAMN11110484,287,Pseudomonas aeruginosa,NA,ESP024,University Hospital Palma de Mallorca (Spain),S,1,S,0.125,S,0.125,S,1
SRR8737522,PRJNA526797,SAMN11110485,287,Pseudomonas aeruginosa,NA,ESP025,University Hospital Palma de Mallorca (Spain),R,16,S,0.5,R,8,R,64
SRR8737523,PRJNA526797,SAMN11110482,287,Pseudomonas aeruginosa,NA,ESP022,University Hospital Palma de Mallorca (Spain),S,0.5,S,0.125,S,1,S,2
SRR8737524,PRJNA526797,SAMN11110483,287,Pseudomonas aeruginosa,NA,ESP023,University Hospital Palma de Mallorca (Spain),S,2,I,2,R,8,R,32
SRR8737525,PRJNA526797,SAMN11110591,287,Pseudomonas aeruginosa,NA,F2045,University Hospital Frankfurt (Frankfurt),R,256,R,4,R,128,R,128
SRR8737526,PRJNA526797,SAMN11110590,287,Pseudomonas aeruginosa,NA,F2044,University Hospital Frankfurt (Frankfurt),S,1,I,2,R,16,S,4
SRR8737527,PRJNA526797,SAMN11110486,287,Pseudomonas aeruginosa,NA,ESP027,University Hospital Palma de Mallorca (Spain),S,2,S,1,S,0.25,R,32
SRR8737528,PRJNA526797,SAMN11110487,287,Pseudomonas aeruginosa,NA,ESP028,University Hospital Palma de Mallorca (Spain),S,2,S,0.125,S,0.25,S,4
SRR8737529,PRJNA526797,SAMN11110488,287,Pseudomonas aeruginosa,NA,ESP029,University Hospital Palma de Mallorca (Spain),S,2,S,0.25,S,0.25,S,4
SRR8737530,PRJNA526797,SAMN11110489,287,Pseudomonas aeruginosa,NA,ESP031,University Hospital Palma de Mallorca (Spain),S,1,S,0.125,S,0.5,S,2
SRR8737531,PRJNA526797,SAMN11110585,287,Pseudomonas aeruginosa,NA,F2029,University Hospital Frankfurt (Frankfurt),S,0.5,S,1,R,8,I,16
SRR8737532,PRJNA526797,SAMN11110584,287,Pseudomonas aeruginosa,NA,F2020,University Hospital Frankfurt (Frankfurt),S,0.5,R,16,R,32,R,64
