BioSample,Run,Imipenem,Meropenem,Doripenem,OXA-23 (ARO:3001418),QacEdelta1 (ARO:3005010),Sul1 (ARO:3000410),mphE (ARO:3003741),msrE (ARO:3003109),ANT(3'')-II (ARO:3002601),aacC1 (ARO:3002528),YafP (UniProtKB:Q47158),AphA6 (ARO:3002652),xerD (UniProtKB:D0CB56)
SAMN02570329,SRR1103732,9 (R),NA (NA),NA (NA),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02570331,SRR1103734;SRR1103735,9 (R),NA (NA),NA (NA),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02570332,SRR1103736,9 (R),NA (NA),NA (NA),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02570333,SRR1103737,9 (R),NA (NA),NA (NA),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02570343,SRR1103749;SRR1103750,7 (R),6 (R),6 (R),NO,YES,YES,YES,YES,YES,YES,YES,NO,NO
SAMN02570344,SRR1103751,7 (R),6 (R),6 (R),NO,YES,YES,YES,YES,YES,YES,YES,NO,NO
SAMN02570423,SRR1103754;SRR1103755,7 (R),6 (R),6 (R),NO,YES,YES,YES,YES,YES,YES,YES,NO,NO
SAMN02570424,SRR1103756,7 (R),6 (R),6 (R),NO,YES,YES,YES,YES,YES,YES,YES,NO,NO
SAMN02570425,SRR1103757,7 (R),6 (R),6 (R),NO,YES,YES,YES,YES,YES,YES,YES,NO,NO
SAMN02570426,SRR1103758,7 (R),6 (R),6 (R),NO,YES,YES,YES,YES,YES,YES,YES,NO,NO
SAMN02570427,SRR1103759,7 (R),6 (R),6 (R),NO,YES,YES,YES,YES,YES,YES,YES,NO,NO
SAMN02570428,SRR1103760,7 (R),6 (R),6 (R),NO,YES,YES,YES,YES,YES,YES,YES,NO,NO
SAMN02570429,SRR1103761,7 (R),6 (R),6 (R),NO,YES,YES,YES,YES,YES,YES,YES,NO,NO
SAMN02570430,SRR1103762,17 (R),6 (R),6 (R),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02570431,SRR1103763,17 (R),6 (R),6 (R),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
