Assembly,Level,WGS,BioSample,id,Taxonomy,Accession,country,source,method,amikacin,aztreonam,cefepime,cefoxitin,ceftazidime,ciprofloxacin,imipenem,meropenem,piperacillin/tazobactam,tetracycline,Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_disease,Host,Instrument,Isolation_Source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study
GCA_009826085.1,Scaffold,WULA00000000,SAMN13675325,602106,Klebsiella pneumoniae,PRJNA597427,USA,bioMerieux,Vitek 2,>=64,>=64,16,>=64,>=64,>=4,>=16,>=16,>=128,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009826055.1,Scaffold,WUKZ00000000,SAMN13675326,603001,Klebsiella pneumoniae,PRJNA597427,USA,bioMerieux,Vitek 2,>=64,>=64,>=64,>=64,>=64,>=4,>=16,>=16,>=128,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009826015.1,Scaffold,WUKY00000000,SAMN13675327,603002,Klebsiella pneumoniae,PRJNA597427,USA,bioMerieux,Vitek 2,>=64,>=64,8,32,>=64,>=4,>=16,>=16,>=128,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009825975.1,Scaffold,WUKX00000000,SAMN13675328,603003,Klebsiella pneumoniae,PRJNA597427,USA,bioMerieux,Vitek 2,<=2,>=64,2,32,>=64,>=4,>=16,>=16,>=128,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009825985.1,Scaffold,WUKW00000000,SAMN13675329,603004,Klebsiella pneumoniae,PRJNA597427,NA,bioMerieux,Vitek 2,>=64,>=64,8,>=64,>=64,>=4,>=16,>=16,>=128,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009825995.1,Scaffold,WUKV00000000,SAMN13675330,603005,Klebsiella pneumoniae,PRJNA597427,USA,bioMerieux,Vitek 2,>=64,>=64,2,>=64,>=64,>=4,>=16,>=16,>=128,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009825955.1,Scaffold,WUKU00000000,SAMN13675331,901027,Klebsiella pneumoniae,PRJNA597427,France,bioMerieux,Vitek 2,>=64,>=64,4,16,>=64,>=4,>=16,>=16,>=128,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009825905.1,Scaffold,WUKB00000000,SAMN13675350,1203028,Klebsiella pneumoniae,PRJNA597427,Greece,bioMerieux,Vitek 2,>=64,>=64,>=64,>=64,>=64,>=4,>=16,>=16,>=128,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009825915.1,Scaffold,WUKC00000000,SAMN13675349,1203023,Klebsiella pneumoniae,PRJNA597427,Greece,bioMerieux,Vitek 2,>=64,>=64,>=64,>=64,>=64,>=4,>=16,>=16,>=128,>=16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009825885.1,Contig,WULN00000000,SAMN13675312,1606285,Klebsiella pneumoniae,PRJNA597427,Korea,bioMerieux,Vitek 2,<=2,>=64,<=1,<=4,>=64,1,<=0.25,<=0.25,8,<=1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
