run_accession	study_accession	sample_accession	tax_id	scientific_name	submitted_ftp
ERR4198125	PRJEB21277	SAMEA6908161	244366	Klebsiella variicola	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198125/WTCHG_781213_73685344_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198125/WTCHG_781213_73685344_2.fastq.gz
ERR4198126	PRJEB21277	SAMEA6908162	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198126/WTCHG_781213_73695345_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198126/WTCHG_781213_73695345_2.fastq.gz
ERR4198127	PRJEB21277	SAMEA6908163	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198127/WTCHG_781213_73705346_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198127/WTCHG_781213_73705346_2.fastq.gz
ERR4198128	PRJEB21277	SAMEA6908164	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198128/WTCHG_781213_73295305_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198128/WTCHG_781213_73295305_2.fastq.gz
ERR4198129	PRJEB21277	SAMEA6908165	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198129/WTCHG_781213_73305306_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198129/WTCHG_781213_73305306_2.fastq.gz
ERR4198130	PRJEB21277	SAMEA6908166	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198130/WTCHG_781213_73315307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198130/WTCHG_781213_73315307_2.fastq.gz
ERR4198131	PRJEB21277	SAMEA6908167	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198131/WTCHG_781213_73325308_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198131/WTCHG_781213_73325308_2.fastq.gz
ERR4198132	PRJEB21277	SAMEA6908168	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198132/WTCHG_781213_73335309_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198132/WTCHG_781213_73335309_2.fastq.gz
ERR4198133	PRJEB21277	SAMEA6908169	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198133/WTCHG_781213_73345310_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198133/WTCHG_781213_73345310_2.fastq.gz
ERR4198134	PRJEB21277	SAMEA6908170	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198134/WTCHG_781213_73355311_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198134/WTCHG_781213_73355311_2.fastq.gz
ERR4198135	PRJEB21277	SAMEA6908171	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198135/WTCHG_781213_73365312_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198135/WTCHG_781213_73365312_2.fastq.gz
