ID,run_accession
SAMN04491439,SRR3170774
SAMN04491440,SRR3170775
SAMN04491441,SRR3170776
SAMN04491442,SRR3170777
SAMN04491443,SRR3170778
SAMN04491444,SRR3170779
SAMN04491445,SRR3170780
SAMN04491446,SRR3170781
SAMN04491447,SRR3170782
SAMN04491448,SRR3170783
SAMN04491449,SRR3170784
SAMN04491451,SRR3170786
SAMN04491453,SRR3170788
SAMN04491454,SRR3170789
SAMN04515390,SRR3217321
SAMN04515391,SRR3217267
SAMN04515392,SRR3217322
SAMN04515395,SRR3217268
SAMN04515397,SRR3217269
SAMN04515400,SRR3217325
SAMN04515401,SRR3216436
SAMN04515403,SRR3217329
SAMN04515404,SRR3217330
SAMN04515405,SRR3217272
SAMN04515406,SRR3217331
SAMN04515407,SRR3216437
SAMN04515408,SRR3217332
SAMN04515791,SRR3217389
SAMN04515793,SRR3217391
SAMN04515794,SRR3217392
SAMN04515797,SRR3217395
SAMN04515799,SRR3217397
SAMN04515801,SRR3217399
SAMN04515803,SRR3217401
SAMN04515804,SRR3217402
SAMN04515805,SRR3217403
SAMN04515807,SRR3217405
SAMN04515808,SRR3217406
SAMN04515809,SRR3217407
SAMN04525190,SRR3197590
SAMN04525192,SRR3197592
SAMN04525195,SRR3197595
SAMN04525199,SRR3197599
SAMN04525202,SRR3197603
SAMN04525203,SRR3197604
SAMN04525204,SRR3197605
SAMN04525206,SRR3197607
SAMN04525207,SRR3197608
SAMN04525208,SRR3197609
SAMN04525209,SRR3197610
SAMN04544429,SRR3216439
SAMN04544430,SRR3216440
SAMN04544431,SRR3216441
SAMN04544432,SRR3216442
SAMN04545389,SRR3218381
SAMN04545390,SRR3218382
SAMN04545393,SRR3218385
SAMN04545394,SRR3218386
SAMN04545396,SRR3218388
SAMN04545397,SRR3218389
SAMN04545398,SRR3218390
SAMN04545400,SRR3218392
SAMN04545401,SRR3218393
SAMN04545403,SRR3218395
SAMN04545404,SRR3218396
SAMN04545405,SRR3218397
SAMN04545407,SRR3218399
SAMN04545409,SRR3218401
SAMN04545410,SRR3218402
SAMN04546717,SRR3222485
SAMN04546718,SRR3222486
SAMN04546719,SRR3222487
SAMN04546722,SRR3222490
SAMN04546723,SRR3222491
SAMN04546724,SRR3222492
SAMN04546726,SRR3222494
SAMN04546731,SRR3222499
SAMN04547088,SRR3223161
SAMN04547089,SRR3223162
SAMN04547090,SRR3223163
SAMN04547091,SRR3223164
SAMN04547093,SRR3223166
SAMN04547094,SRR3223167
SAMN04547097,SRR3223170
SAMN04547100,SRR3223173
SAMN04547101,SRR3223174
SAMN04547102,SRR3223175
SAMN04547104,SRR3223177
SAMN04547105,SRR3223178
SAMN04547106,SRR3223179
SAMN04547107,SRR3223180
SAMN04549256,SRR3223466
SAMN04549257,SRR3223467
SAMN04549259,SRR3223469
SAMN04549260,SRR3223470
SAMN04549262,SRR3223472
SAMN04549266,SRR3223476
SAMN04549268,SRR3223478
SAMN04549269,SRR3223479
SAMN04549271,SRR3223481
SAMN04549272,SRR3223482
SAMN04549302,SRR3223552
SAMN04549305,SRR3223555
SAMN04549306,SRR3223556
SAMN04549307,SRR3223557
SAMN04549310,SRR3223560
SAMN04549312,SRR3223562
SAMN04549314,SRR3223564
SAMN04549497,SRR3223910
SAMN04549499,SRR3223912
SAMN04549500,SRR3223913
SAMN04549502,SRR3223915
SAMN04549504,SRR3223917
SAMN04549507,SRR3223920
SAMN04549508,SRR3223921
SAMN04549509,SRR3223922
SAMN04549510,SRR3223923
SAMN04549511,SRR3223924
SAMN04549512,SRR3223925
SAMN04549514,SRR3223927
SAMN04549516,SRR3223929
SAMN04549546,SRR3224227
SAMN04549547,SRR3224228
SAMN04549550,SRR3224231
SAMN04549551,SRR3224232
SAMN04549552,SRR3224233
SAMN04549553,SRR3224234
SAMN04549555,SRR3224236
SAMN04549556,SRR3224237
SAMN04549557,SRR3224238
SAMN04549559,SRR3224240
SAMN04549560,SRR3224241
SAMN04549562,SRR3224243
SAMN04549563,SRR3224244
SAMN04549825,SRR3224794
SAMN04549827,SRR3224796
SAMN04549828,SRR3224797
SAMN04549830,SRR3224799
SAMN04549831,SRR3224800
SAMN04549832,SRR3224801
SAMN04549834,SRR3224803
SAMN04549835,SRR3224804
SAMN04549837,SRR3224805
SAMN04549840,SRR3224808
SAMN04549842,SRR3224810
SAMN04549844,SRR3224812
SAMN04549866,SRR3224984
SAMN04549867,SRR3224985
SAMN04549868,SRR3224986
SAMN04549869,SRR3224987
SAMN04549871,SRR3224989
SAMN04549872,SRR3224990
SAMN04549874,SRR3224992
SAMN04549875,SRR3224993
SAMN04549878,SRR3224996
SAMN04549879,SRR3224997
SAMN04549880,SRR3224998
SAMN04549884,SRR3225002
SAMN04550075,SRR3225041
SAMN04550076,SRR3225042
SAMN04550078,SRR3225044
SAMN04550082,SRR3225048
SAMN04550085,SRR3225051
SAMN04550086,SRR3225052
SAMN04550092,SRR3225058
SAMN04550093,SRR3225059
SAMN04550105,SRR3225230
SAMN04550107,SRR3225232
SAMN04550108,SRR3225233
SAMN04550110,SRR3225235
SAMN04550111,SRR3225236
SAMN04550112,SRR3225237
SAMN04550113,SRR3225238
SAMN04550114,SRR3225240
SAMN04550115,SRR3225241
SAMN04550117,SRR3225243
SAMN04550118,SRR3225244
SAMN04550119,SRR3225245
SAMN04550123,SRR3225249
SAMN04550124,SRR3225250
SAMN04555175,SRR3226989
SAMN04555176,SRR3226990
SAMN04555179,SRR3226993
SAMN04555181,SRR3226995
SAMN04555184,SRR3226998
SAMN04555185,SRR3226999
SAMN04555188,SRR3227002
SAMN04555191,SRR3227005
SAMN04555192,SRR3227006
SAMN04555193,SRR3227007
SAMN04555194,SRR3227008
SAMN04555195,SRR3227009
SAMN04555198,SRR3227012
SAMN04555205,SRR3227019
SAMN04555207,SRR3227021
SAMN04555209,SRR3227023
SAMN04555210,SRR3227024
SAMN04555211,SRR3227025
SAMN04555212,SRR3227026
SAMN04555214,SRR3227028
SAMN04555216,SRR3227030
SAMN04555217,SRR3227031
SAMN04555220,SRR3227034
SAMN04555221,SRR3227035
SAMN04555223,SRR3227037
SAMN04555224,SRR3227038
SAMN04555226,SRR3227040
SAMN04555233,SRR3227047
SAMN04555234,SRR3227048
SAMN04555289,SRR3228473
SAMN04555290,SRR3228474
SAMN04555292,SRR3228476
SAMN04555294,SRR3228478
SAMN04555295,SRR3228479
SAMN04555297,SRR3228481
SAMN04555300,SRR3228488
SAMN04555302,SRR3228490
SAMN04555303,SRR3228491
