sample_accession,run_accession
SAMN04543714,SRR3214704
SAMN04543715,SRR3214706
SAMN04543717,SRR3214710
SAMN04543718,SRR3215117
SAMN04568566,SRR3241809
SAMN04599776,SRR3319977
SAMN04599779,SRR3319983
SAMN04599781,SRR3319970
SAMN04599782,SRR3319975
SAMN04599786,SRR3319969
SAMN04599787,SRR3319978
SAMN04599788,SRR3319956
SAMN04599789,SRR3319994
SAMN04599790,SRR3319990
SAMN04599792,SRR3319985
SAMN04599793,SRR3319995
SAMN04599794,SRR3319992
SAMN04599795,SRR3319973
SAMN04599796,SRR3319968
SAMN04599797,SRR3319987
SAMN04599798,SRR3319986
SAMN04599800,SRR3319988
SAMN04599801,SRR3320062
SAMN04599802,SRR3319993
SAMN04580855,SRR3297732
SAMN04580857,SRR3297734
SAMN04580866,SRR3297723
SAMN04580867,SRR3297737
SAMN04580868,SRR3297742
SAMN04580871,SRR3297731
SAMN04600066,SRR3321633
SAMN04600067,SRR3321616
SAMN04600069,SRR3321628
SAMN04600070,SRR3321655
SAMN04625655,SRR3350893
SAMN04600073,SRR3321643
SAMN04600076,SRR3321626
SAMN04600077,SRR3321651
SAMN04600078,SRR3321624
SAMN04600083,SRR3321620
SAMN04600084,SRR3321631
SAMN04600085,SRR3321639
SAMN04600089,SRR3321623
SAMN04600090,SRR3321622
SAMN04600091,SRR3321647
SAMN04600092,SRR3321641
SAMN04600093,SRR3321642
SAMN04600094,SRR3321648
SAMN04600095,SRR3321632
SAMN04600099,SRR3321635
SAMN04625657,SRR3350889
SAMN04625659,SRR3350813
SAMN04625660,SRR3350812
SAMN04625661,SRR3350892
SAMN04625662,SRR3350898
SAMN04625663,SRR3350904
SAMN04625664,SRR3350852
SAMN04625667,SRR3350838
SAMN04625668,SRR3350821
SAMN04625670,SRR3350836
SAMN04625671,SRR3350799
SAMN04625672,SRR3350808
SAMN04625673,SRR3350897
SAMN04625674,SRR3350905
SAMN04625675,SRR3350788
SAMN04625678,SRR3350801
SAMN04625679,SRR3350834
SAMN04625680,SRR3350890
SAMN04625682,SRR3350839
SAMN04625683,SRR3350850
SAMN04625686,SRR3350833
SAMN04625687,SRR3350809
SAMN04625688,SRR3350906
SAMN04625691,SRR3350811
SAMN04625692,SRR3350891
SAMN04625694,SRR3350802
SAMN04625697,SRR3350887
SAMN04625698,SRR3350814
SAMN04869738,SRR3402095
SAMN04869743,SRR3402091
SAMN04869744,SRR3402105
SAMN04869746,SRR3402101
SAMN04869747,SRR3402079
SAMN04869750,SRR3402080
SAMN04869751,SRR3402085
SAMN04869753,SRR3402096
SAMN04869754,SRR3402082
SAMN04869755,SRR3402093
SAMN04869756,SRR3402092
SAMN04869757,SRR3402097
SAMN05171389,SRR3583318
SAMN04958205,SRR3479993
SAMN04958207,SRR3479999
SAMN04958208,SRR3479996
SAMN04958209,SRR3480035
SAMN04958210,SRR3479923
SAMN04958211,SRR3479925
SAMN04958212,SRR3479989
SAMN04958215,SRR3479997
SAMN04958216,SRR3480023
SAMN04958217,SRR3479926
SAMN04958218,SRR3479992
SAMN04958219,SRR3479932
SAMN04958220,SRR3479998
SAMN04942548,SRR3475824
SAMN04942549,SRR3475830
SAMN04942551,SRR3475854
SAMN04942552,SRR3475873
SAMN04942583,SRR3475856
SAMN05190017,SRR3611687
SAMN05190018,SRR3611703
SAMN05190019,SRR3611705
SAMN05190020,SRR3611721
SAMN05190021,SRR3611725
SAMN05190022,SRR3611727
SAMN05190023,SRR3611732
SAMN05190024,SRR3611728
SAMN05190025,SRR3611730
SAMN05190026,SRR3611734
SAMN05190027,SRR3611736
SAMN05190028,SRR3611737
SAMN05190030,SRR3611740
SAMN05190031,SRR3611742
SAMN05190032,SRR3611744
SAMN05190033,SRR3611746
SAMN05190034,SRR3611749
SAMN05190037,SRR3611752
SAMN05190038,SRR3611753
SAMN05190040,SRR3611755
SAMN05190043,SRR3611758
SAMN05190046,SRR3611760
