SRS,Clonal complex,Sequence type,O,H,eae,Ertapenem (ETP 0.064/0.05) Phenotype,Ampicillin (AMP 8) Ceftazidime (CAZ 1/2) Cefotaxime (CTX 0.25/0.5/1) Cefpirome (CPR 1) Cefoxitin (FOX 8) Temocillin (TEM 128) Phenotype,Gentamycin (GEN 2) Tobamycin (TOB 2) Amikacin (AMK 8) Streptomycin (STR 8/16) Phenotype,Ciprofloxacin (CIP 0.064/0.5) Nalidixic acid (NAL 16) Phenotype,Azithromycin (16) Phenotype,Trimethoprim (TMP 2 ) Phenotype,Tetracycline (TET 8) Phenotype,Sulphonamide (SUL 256) Phenotype,Chloramphenicol (CHL 8/16) Phenotype
SRR5006088,CC442,442,O146,H21,-,S,AMP8 (MIC - ≥8),"STR8,16",S,≥128 (E-test >256),TMP2,TET8,SUL256,CHL8 Intermediate
SRR4897070,CC442,442,O146,H21,-,S,AMP8 (MIC - ≥8),"STR8,16",S,S,S,TET8,SUL256,S
SRR4787905,CC21,21,O118-O151,H16,+,S,AMP8 (MIC - ≥4),S,S,S,S,S,S,CHL8 Intermediate
SRR6009921,CC504,5292,O117,H7,-,S,AMP8 (MIC - ≥4),"STR8,16",CIP0.064,S,TMP2,S,SUL256,CHL8 Intermediate
SRR4787740,CC21,21,O26,H11,+,S,AMP8 (MIC - ≥4),STR8. STR16 intermediate,S,S,S,TET8,SUL256,S
SRR7249509,CC33,33,O91,H14,-,S,AMP8 (MIC - ≥2),"STR8,16",S,S,S,TET8,SUL256,S
SRR7285597,CC21,21,O26,H11,+,S,AMP8 (MIC - ≥4),"STR8,16",S,S,S,S,SUL256,CHL8 Intermediate
SRR4897266,CC17,17,O103,H2,+,S,AMP8 (MIC - ≥4),"STR8,16",CIP0.064,S,S,TET8,SUL256,S
SRR5005494,CC504,P3214,O117,H7,-,S,AMP8 (MIC - ≥4),S,CIP0.064,S,TMP2,S,S,CHL8 Intermediate
SRR4787759,CC504,5292,O117,H7,-,S,AMP8 (MIC - ≥4),S,CIP0.064,S,TMP2,S,S,S
SRR5006387,CC21,21,O26,H11,+,S,AMP8 (MIC - ≥4),"STR8,16",S,S,S,TET8,SUL256,S
SRR7367370,CC21,21,O26,H11,+,S,AMP8 (MIC - ≥4),"STR8,16",S,S,TMP2 (repeat same) MIC - ≥32,S,SUL256,"CHL8,16"
SRR7291449,CC33,33,O91,H14,-,S,AMP8 (MIC - ≥4),STR8,S,S,S,TET8,SUL256,S
SRR7163898,CC442,442,O146,H21,-,S,AMP8 (MIC - ≥8),S ,S,S,S,S,S,S
SRR7163898,CC442,442,O146,H21,-,S,AMP8 (MIC - ≥8),S ,S,S,S,S,S,S
